date,country,H,I,S,D,M
2021-04-01,Sweden,9,0,0,0,0
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Australia,24,0,0,0,0
2021-04-02,Sweden,5,4,0,0,0
2021-04-02,Afghanistan,29,8,0,0,0
2021-04-02,Australia,16,8,0,0,0
2021-04-03,Sweden,3,6,0,0,0
2021-04-03,Afghanistan,22,15,0,0,0
2021-04-03,Australia,14,10,0,0,0
2021-04-04,Sweden,2,7,0,0,0
2021-04-04,Afghanistan,18,19,0,0,0
2021-04-04,Australia,12,12,0,0,0
2021-04-05,Sweden,2,7,0,0,0
2021-04-05,Afghanistan,14,23,0,0,0
2021-04-05,Australia,10,14,0,0,0
2021-04-06,Sweden,2,7,0,0,0
2021-04-06,Afghanistan,12,25,0,0,0
2021-04-06,Australia,8,16,0,0,0
2021-04-07,Sweden,2,3,3,0,1
2021-04-07,Afghanistan,10,19,3,0,5
2021-04-07,Australia,7,9,3,0,5
2021-04-08,Sweden,1,2,4,0,2
2021-04-08,Afghanistan,8,14,8,0,7
2021-04-08,Australia,2,12,4,0,6
2021-04-09,Sweden,1,1,4,0,3
2021-04-09,Afghanistan,7,11,10,0,9
2021-04-09,Australia,2,10,4,0,8
2021-04-10,Sweden,1,1,4,0,3
2021-04-10,Afghanistan,6,8,12,0,11
2021-04-10,Australia,1,9,6,0,8
2021-04-11,Sweden,1,1,4,0,3
2021-04-11,Afghanistan,5,7,13,0,12
2021-04-11,Australia,0,8,7,0,9
2021-04-12,Sweden,0,2,4,0,3
2021-04-12,Afghanistan,5,5,13,0,14
2021-04-12,Australia,0,7,8,0,9
2021-04-13,Sweden,0,1,4,0,4
2021-04-13,Afghanistan,3,5,14,0,15
2021-04-13,Australia,0,2,11,0,11
2021-04-14,Sweden,0,1,4,0,4
2021-04-14,Afghanistan,2,5,15,0,15
2021-04-14,Australia,0,2,11,0,11
2021-04-15,Sweden,0,1,4,0,4
2021-04-15,Afghanistan,2,4,16,0,15
2021-04-15,Australia,0,1,12,0,11
2021-04-16,Sweden,0,1,4,0,4
2021-04-16,Afghanistan,1,4,17,0,15
2021-04-16,Australia,0,0,12,0,12
2021-04-17,Sweden,0,0,4,0,5
2021-04-17,Afghanistan,1,4,17,0,15
2021-04-17,Australia,0,0,12,0,12
2021-04-18,Sweden,0,0,4,0,5
2021-04-18,Afghanistan,1,2,18,0,16
2021-04-18,Australia,0,0,12,0,12
2021-04-19,Sweden,0,0,4,0,5
2021-04-19,Afghanistan,1,1,19,0,16
2021-04-19,Australia,0,0,12,0,12
2021-04-20,Sweden,0,0,4,0,5
2021-04-20,Afghanistan,1,1,19,0,16
2021-04-20,Australia,0,0,12,0,12
2021-04-21,Sweden,0,0,4,0,5
2021-04-21,Afghanistan,1,0,20,0,16
2021-04-21,Australia,0,0,12,0,12
2021-04-22,Sweden,0,0,1,1,7
2021-04-22,Afghanistan,1,0,17,0,19
2021-04-22,Australia,0,0,9,1,14
2021-04-23,Sweden,0,0,0,1,8
2021-04-23,Afghanistan,1,0,12,1,23
2021-04-23,Australia,0,0,8,1,15
2021-04-24,Sweden,0,0,0,1,8
2021-04-24,Afghanistan,1,0,10,3,23
2021-04-24,Australia,0,0,8,1,15
2021-04-25,Sweden,0,0,0,1,8
2021-04-25,Afghanistan,1,0,8,4,24
2021-04-25,Australia,0,0,6,1,17
2021-04-26,Sweden,0,0,0,1,8
2021-04-26,Afghanistan,0,1,7,4,25
2021-04-26,Australia,0,0,5,1,18
2021-04-27,Sweden,0,0,0,1,8
2021-04-27,Afghanistan,0,1,7,4,25
2021-04-27,Australia,0,0,4,1,19
2021-04-28,Sweden,0,0,0,1,8
2021-04-28,Afghanistan,0,1,6,4,26
2021-04-28,Australia,0,0,1,1,22
2021-04-29,Sweden,0,0,0,1,8
2021-04-29,Afghanistan,0,1,5,4,27
2021-04-29,Australia,0,0,1,1,22
2021-04-30,Sweden,0,0,0,1,8
2021-04-30,Afghanistan,0,1,4,4,28
2021-04-30,Australia,0,0,0,1,23
2021-05-01,Sweden,0,0,0,1,8
2021-05-01,Afghanistan,0,0,4,4,29
2021-05-01,Australia,0,0,0,1,23
2021-05-02,Sweden,0,0,0,1,8
2021-05-02,Afghanistan,0,0,4,4,29
2021-05-02,Australia,0,0,0,1,23
2021-05-03,Sweden,0,0,0,1,8
2021-05-03,Afghanistan,0,0,3,4,30
2021-05-03,Australia,0,0,0,1,23
2021-05-04,Sweden,0,0,0,1,8
2021-05-04,Afghanistan,0,0,2,4,31
2021-05-04,Australia,0,0,0,1,23
2021-05-05,Sweden,0,0,0,1,8
2021-05-05,Afghanistan,0,0,2,4,31
2021-05-05,Australia,0,0,0,1,23
2021-05-06,Sweden,0,0,0,1,8
2021-05-06,Afghanistan,0,0,1,4,32
2021-05-06,Australia,0,0,0,1,23
2021-05-07,Sweden,0,0,0,1,8
2021-05-07,Afghanistan,0,0,1,4,32
2021-05-07,Australia,0,0,0,1,23
2021-05-08,Sweden,0,0,0,1,8
2021-05-08,Afghanistan,0,0,1,4,32
2021-05-08,Australia,0,0,0,1,23
2021-05-09,Sweden,0,0,0,1,8
2021-05-09,Afghanistan,0,0,1,4,32
2021-05-09,Australia,0,0,0,1,23
2021-05-10,Sweden,0,0,0,1,8
2021-05-10,Afghanistan,0,0,1,4,32
2021-05-10,Australia,0,0,0,1,23
2021-05-11,Sweden,0,0,0,1,8
2021-05-11,Afghanistan,0,0,1,4,32
2021-05-11,Australia,0,0,0,1,23
2021-05-12,Sweden,0,0,0,1,8
2021-05-12,Afghanistan,0,0,1,4,32
2021-05-12,Australia,0,0,0,1,23
2021-05-13,Sweden,0,0,0,1,8
2021-05-13,Afghanistan,0,0,1,4,32
2021-05-13,Australia,0,0,0,1,23
2021-05-14,Sweden,0,0,0,1,8
2021-05-14,Afghanistan,0,0,1,4,32
2021-05-14,Australia,0,0,0,1,23
2021-05-15,Sweden,0,0,0,1,8
2021-05-15,Afghanistan,0,0,1,4,32
2021-05-15,Australia,0,0,0,1,23
2021-05-16,Sweden,0,0,0,1,8
2021-05-16,Afghanistan,0,0,0,4,33
2021-05-16,Australia,0,0,0,1,23
2021-05-17,Sweden,0,0,0,1,8
2021-05-17,Afghanistan,0,0,0,4,33
2021-05-17,Australia,0,0,0,1,23
2021-05-18,Sweden,0,0,0,1,8
2021-05-18,Afghanistan,0,0,0,4,33
2021-05-18,Australia,0,0,0,1,23
2021-05-19,Sweden,0,0,0,1,8
2021-05-19,Afghanistan,0,0,0,4,33
2021-05-19,Australia,0,0,0,1,23
2021-05-20,Sweden,0,0,0,1,8
2021-05-20,Afghanistan,0,0,0,4,33
2021-05-20,Australia,0,0,0,1,23
2021-05-21,Sweden,0,0,0,1,8
2021-05-21,Afghanistan,0,0,0,4,33
2021-05-21,Australia,0,0,0,1,23
2021-05-22,Sweden,0,0,0,1,8
2021-05-22,Afghanistan,0,0,0,4,33
2021-05-22,Australia,0,0,0,1,23
2021-05-23,Sweden,0,0,0,1,8
2021-05-23,Afghanistan,0,0,0,4,33
2021-05-23,Australia,0,0,0,1,23
2021-05-24,Sweden,0,0,0,1,8
